时间周期,品类,dim_city_name,父单量,销量,金额,用户数
cycle,cat,city,pordernum,ordernum,money,usernum
2017-12,运动相机,成都市,490,835,731614.7,426
2017-12,运动相机,杭州市,182,383,411368.64,158
2017-12,运动相机,武汉市,170,288,301211.69999999995,140
2017-12,运动相机,深圳市,1074,2474,1665112.9700000002,934
2017-12,运动相机,西安市,197,349,241518.22,167
2018-01,定位跟踪鞋,北京市,1,1,769.0,1
2018-01,碳酸饮料,北京市,72533,133477,4853242.85999886,60960
2018-01,碳酸饮料,成都市,2269,3711,145716.07999999772,2044
2018-01,碳酸饮料,杭州市,4978,10063,341946.2200000003,3971
2018-01,碳酸饮料,武汉市,3631,7365,234616.10999999518,3111
2018-01,碳酸饮料,深圳市,7475,23809,487089.36000001314,6341
2018-01,碳酸饮料,西安市,3402,7241,180992.57999999612,3062
2018-01,运动相机,北京市,3445,8738,6724923.669999999,2807
2018-01,运动相机,成都市,561,1027,855193.1000000001,458
2018-01,运动相机,杭州市,255,406,398659.17,213
2018-01,运动相机,武汉市,272,579,499085.7,214
2018-01,运动相机,深圳市,772,1615,1500634.18,674
2018-01,运动相机,西安市,246,437,368933.29,204
2018-02,定位跟踪鞋,北京市,1,1,599.0,1
2018-02,碳酸饮料,北京市,77027,137532,4684193.189998382,68433
2018-02,碳酸饮料,成都市,2591,3972,157180.03999999643,2362
2018-02,碳酸饮料,杭州市,3796,7675,267928.3499999947,3286
2018-02,碳酸饮料,武汉市,4253,9047,279785.5699999924,3707
2018-02,碳酸饮料,深圳市,7036,14665,373329.91000000783,6308
2018-02,碳酸饮料,西安市,3959,6041,203823.73999999362,3673
2018-02,运动相机,北京市,2820,4776,4290175.93,2327
2018-02,运动相机,成都市,469,807,722770.9,398
2018-02,运动相机,杭州市,197,367,304633.2,168
2018-02,运动相机,武汉市,184,371,256029.8,153
2018-02,运动相机,深圳市,587,957,890417.39,533
2018-02,运动相机,西安市,223,402,364894.49,191
2018-03,定位跟踪鞋,北京市,4,4,2046.23,3
2018-03,定位跟踪鞋,深圳市,1,1,399.0,1
2018-03,定位跟踪鞋,西安市,1,1,599.0,1
2018-03,碳酸饮料,北京市,66735,111061,4311121.829998067,56488
2018-03,碳酸饮料,成都市,3224,5043,219299.86999999604,2856
2018-03,碳酸饮料,杭州市,5955,12112,436602.53000001574,4778
2018-03,碳酸饮料,武汉市,4079,9284,263115.55999999284,3462
2018-03,碳酸饮料,深圳市,10848,23416,689896.4200000768,8987
2018-03,碳酸饮料,西安市,2649,4462,141999.31999999762,2348
2018-03,运动相机,北京市,2557,4440,3874420.3899999987,2095
2018-03,运动相机,成都市,425,687,530316.98,357
2018-03,运动相机,杭州市,182,296,337808.22,150
2018-03,运动相机,武汉市,197,337,318418.33,172
2018-03,运动相机,深圳市,635,1084,880149.1000000001,527
2018-03,运动相机,西安市,197,369,317830.2299999999,156
2018-04,定位跟踪鞋,成都市,2,2,798.0,2
2018-04,碳酸饮料,北京市,67227,115098,4480246.909997962,57540
2018-04,碳酸饮料,成都市,4331,6829,298290.2399999949,3844
2018-04,碳酸饮料,杭州市,7257,15119,596927.1100000287,5642
2018-04,碳酸饮料,武汉市,3170,5283,204117.20999999545,2827
2018-04,碳酸饮料,深圳市,11577,21263,737858.8400001192,9724
2018-04,碳酸饮料,西安市,3460,5482,199106.74999999304,3052
2018-04,运动相机,北京市,2484,4227,3438212.049999996,2051
2018-04,运动相机,成都市,455,795,608594.4500000003,384
2018-04,运动相机,杭州市,163,277,252410.44999999998,150
2018-04,运动相机,武汉市,181,322,284739.27,155
2018-04,运动相机,深圳市,702,1367,800427.9500000002,560
2018-04,运动相机,西安市,203,353,289472.20999999996,167
